spec,component,beta_std,se_cluster,p_value,q_bh,ci95_low,ci95_high,n,clusters,r_squared
long_2011_2024_lag9,cstp5_lag1,0.011697412066638251,0.007042223841467652,0.1017547678532311,0.3112127584105131,-0.002379792809028969,0.02577461694230547,882,63,0.35664929654782573
long_2011_2024_lag9,cstp7_lag1,0.007991930935363285,0.011260770601117118,0.48054200059042523,0.5406097506642283,-0.014518028756116675,0.030501890626843244,882,63,0.35664929654782573
long_2011_2024_lag9,cstp8_lag1,0.006437106207459727,0.008648257995579549,0.45949236526346215,0.5406097506642283,-0.01085051519765997,0.023724727612579426,882,63,0.35664929654782573
long_2011_2024_lag9,cstp9_lag1,0.007216576704729762,0.008793023343176066,0.41495240027344127,0.5406097506642283,-0.010360426506888811,0.024793579916348337,882,63,0.35664929654782573
long_2011_2024_lag9,cstp10_lag1,0.009185923093872216,0.007602626215195192,0.23153698022162977,0.4167665643989336,-0.006011510164954253,0.024383356352698685,882,63,0.35664929654782573
winsorized_outcome_1pct,cstp1_lag1,0.006662203992530219,0.007252077607553505,0.3618328977501926,0.6030548295836543,-0.007834492584284806,0.021158900569345246,693,63,0.3099228812349232
winsorized_outcome_1pct,cstp2_lag1,-0.009342631200032665,0.0072843375479054485,0.20441922495616802,0.4307397514299317,-0.023903814478752422,0.005218552078687093,693,63,0.3099228812349232
winsorized_outcome_1pct,cstp3_lag1,0.0009200661824485401,0.005985344975897473,0.8783299065949897,0.8783299065949898,-0.011044467943989344,0.012884600308886423,693,63,0.3099228812349232
winsorized_outcome_1pct,cstp4_lag1,-0.016014619791538776,0.007899993663023235,0.04695019460772617,0.1945273528281073,-0.031806482108666406,-0.00022275747441114283,693,63,0.3099228812349232
winsorized_outcome_1pct,cstp5_lag1,0.034158496518315234,0.008451939869695717,0.0001490530696582939,0.001490530696582939,0.01726330945511469,0.05105368358151578,693,63,0.3099228812349232
winsorized_outcome_1pct,cstp6_lag1,-0.009988356725011508,0.005178988207034828,0.05835820584843218,0.1945273528281073,-0.020341006637925898,0.0003642931879028824,693,63,0.3099228812349232
winsorized_outcome_1pct,cstp7_lag1,-0.002418407550633543,0.009203881488742361,0.7936071156094411,0.8783299065949898,-0.020816704492780294,0.015979889391513208,693,63,0.3099228812349232
winsorized_outcome_1pct,cstp8_lag1,0.005004840585493355,0.006993960282370102,0.4769280749673917,0.6813258213819882,-0.008975886810227205,0.018985567981213917,693,63,0.3099228812349232
winsorized_outcome_1pct,cstp9_lag1,0.009882160190143735,0.007894795099979911,0.21536987571496585,0.4307397514299317,-0.005899310347530794,0.025663630727818264,693,63,0.3099228812349232
winsorized_outcome_1pct,cstp10_lag1,-0.002023802439135026,0.008120353132180418,0.8040098502184894,0.8783299065949898,-0.018256157058616464,0.014208552180346414,693,63,0.3099228812349232
